wavelength corrector
3000.00 0.00000
3010.00 0.00000
3020.00 0.00001
3030.00 0.00003
3040.00 0.00009
3050.00 0.00023
3060.00 0.00056
3070.00 0.00124
3080.00 0.00252
3090.00 0.00481
3100.00 0.00872
3110.00 0.01323
3120.00 0.01954
3130.00 0.02819
3140.00 0.03981
3150.00 0.05513
3160.00 0.07497
3170.00 0.10018
3180.00 0.13172
3190.00 0.17064
3200.00 0.21818
3210.00 0.24452
3220.00 0.27255
3230.00 0.30211
3240.00 0.33326
3250.00 0.36602
3260.00 0.40032
3270.00 0.43625
3280.00 0.47381
3290.00 0.51311
3300.00 0.55414
3310.00 0.56823
3320.00 0.58185
3330.00 0.59507
3340.00 0.60783
3350.00 0.62038
3360.00 0.63292
3370.00 0.64526
3380.00 0.65750
3390.00 0.66967
3400.00 0.68204
3410.00 0.68594
3420.00 0.68987
3430.00 0.69379
3440.00 0.69778
3450.00 0.70192
3460.00 0.70594
3470.00 0.71056
3480.00 0.71520
3490.00 0.72010
3500.00 0.72512
3510.00 0.72577
3520.00 0.72687
3530.00 0.72770
3540.00 0.72907
3550.00 0.73037
3560.00 0.73193
3570.00 0.73358
3580.00 0.73563
3590.00 0.73747
3600.00 0.73954
3610.00 0.74346
3620.00 0.74749
3630.00 0.75144
3640.00 0.75554
3650.00 0.75972
3660.00 0.76204
3670.00 0.76436
3680.00 0.76667
3690.00 0.76910
3700.00 0.77140
3710.00 0.77284
3720.00 0.77445
3730.00 0.77602
3740.00 0.77757
3750.00 0.77922
3760.00 0.78113
3770.00 0.78292
3780.00 0.78389
3790.00 0.78456
3800.00 0.78511
3810.00 0.78648
3820.00 0.78774
3830.00 0.78911
3840.00 0.79034
3850.00 0.79154
3860.00 0.79242
3870.00 0.79348
3880.00 0.79426
3890.00 0.79510
3900.00 0.79577
3910.00 0.79658
3920.00 0.79741
3930.00 0.79821
3940.00 0.79889
3950.00 0.79939
3960.00 0.79981
3970.00 0.80028
3980.00 0.80075
3990.00 0.80126
4000.00 0.80173
4010.00 0.80153
4020.00 0.80144
4030.00 0.80132
4040.00 0.80130
4050.00 0.80115
4060.00 0.80107
4070.00 0.80082
4080.00 0.80062
4090.00 0.80043
4100.00 0.80048
4110.00 0.80051
4120.00 0.80050
4130.00 0.80050
4140.00 0.80057
4150.00 0.80059
4160.00 0.80065
4170.00 0.80067
4180.00 0.80074
4190.00 0.80086
4200.00 0.80118
4210.00 0.80167
4220.00 0.80206
4230.00 0.80245
4240.00 0.80298
4250.00 0.80346
4260.00 0.80404
4270.00 0.80430
4280.00 0.80505
4290.00 0.80553
4300.00 0.80635
4310.00 0.80696
4320.00 0.80784
4330.00 0.80880
4340.00 0.80960
4350.00 0.81050
4360.00 0.81122
4370.00 0.81222
4380.00 0.81304
4390.00 0.81386
4400.00 0.81485
4410.00 0.81599
4420.00 0.81744
4430.00 0.81867
4440.00 0.81977
4450.00 0.82068
4460.00 0.82174
4470.00 0.82288
4480.00 0.82410
4490.00 0.82520
4500.00 0.82638
4510.00 0.82748
4520.00 0.82875
4530.00 0.82999
4540.00 0.83122
4550.00 0.83249
4560.00 0.83367
4570.00 0.83493
4580.00 0.83610
4590.00 0.83729
4600.00 0.83831
4610.00 0.83948
4620.00 0.84058
4630.00 0.84187
4640.00 0.84290
4650.00 0.84401
4660.00 0.84492
4670.00 0.84577
4680.00 0.84666
4690.00 0.84767
4700.00 0.84889
4710.00 0.84994
4720.00 0.85075
4730.00 0.85143
4740.00 0.85222
4750.00 0.85303
4760.00 0.85383
4770.00 0.85456
4780.00 0.85546
4790.00 0.85620
4800.00 0.85711
4810.00 0.85793
4820.00 0.85889
4830.00 0.85959
4840.00 0.86038
4850.00 0.86112
4860.00 0.86187
4870.00 0.86259
4880.00 0.86326
4890.00 0.86383
4900.00 0.86443
4910.00 0.86493
4920.00 0.86547
4930.00 0.86598
4940.00 0.86649
4950.00 0.86703
4960.00 0.86747
4970.00 0.86786
4980.00 0.86810
4990.00 0.86835
5000.00 0.86853
5010.00 0.86814
5020.00 0.86804
5030.00 0.86797
5040.00 0.86800
5050.00 0.86786
5060.00 0.86758
5070.00 0.86735
5080.00 0.86707
5090.00 0.86695
5100.00 0.86674
5110.00 0.86657
5120.00 0.86628
5130.00 0.86582
5140.00 0.86535
5150.00 0.86496
5160.00 0.86466
5170.00 0.86439
5180.00 0.86387
5190.00 0.86333
5200.00 0.86286
5210.00 0.86249
5220.00 0.86214
5230.00 0.86159
5240.00 0.86104
5250.00 0.86038
5260.00 0.85970
5270.00 0.85905
5280.00 0.85855
5290.00 0.85794
5300.00 0.85733
5310.00 0.85663
5320.00 0.85614
5330.00 0.85551
5340.00 0.85503
5350.00 0.85454
5360.00 0.85409
5370.00 0.85343
5380.00 0.85270
5390.00 0.85177
5400.00 0.85095
5410.00 0.85007
5420.00 0.84946
5430.00 0.84882
5440.00 0.84825
5450.00 0.84773
5460.00 0.84715
5470.00 0.84648
5480.00 0.84576
5490.00 0.84503
5500.00 0.84437
5510.00 0.84346
5520.00 0.84276
5530.00 0.84197
5540.00 0.84129
5550.00 0.84048
5560.00 0.83966
5570.00 0.83884
5580.00 0.83794
5590.00 0.83727
5600.00 0.83663
5610.00 0.83587
5620.00 0.83516
5630.00 0.83426
5640.00 0.83352
5650.00 0.83259
5660.00 0.83197
5670.00 0.83133
5680.00 0.83079
5690.00 0.83005
5700.00 0.82933
5710.00 0.82859
5720.00 0.82797
5730.00 0.82739
5740.00 0.82665
5750.00 0.82615
5760.00 0.82566
5770.00 0.82514
5780.00 0.82442
5790.00 0.82358
5800.00 0.82300
5810.00 0.82225
5820.00 0.82163
5830.00 0.82096
5840.00 0.82039
5850.00 0.81979
5860.00 0.81919
5870.00 0.81870
5880.00 0.81829
5890.00 0.81786
5900.00 0.81731
5910.00 0.81667
5920.00 0.81615
5930.00 0.81565
5940.00 0.81525
5950.00 0.81467
5960.00 0.81421
5970.00 0.81362
5980.00 0.81322
5990.00 0.81271
6000.00 0.81221
6010.00 0.81189
6020.00 0.81168
6030.00 0.81155
6040.00 0.81133
6050.00 0.81092
6060.00 0.81051
6070.00 0.81024
6080.00 0.80996
6090.00 0.80953
6100.00 0.80899
6110.00 0.80870
6120.00 0.80874
6130.00 0.80858
6140.00 0.80850
6150.00 0.80806
6160.00 0.80803
6170.00 0.80766
6180.00 0.80754
6190.00 0.80721
6200.00 0.80700
6210.00 0.80674
6220.00 0.80661
6230.00 0.80646
6240.00 0.80632
6250.00 0.80622
6260.00 0.80611
6270.00 0.80603
6280.00 0.80578
6290.00 0.80561
6300.00 0.80544
6310.00 0.80548
6320.00 0.80546
6330.00 0.80545
6340.00 0.80527
6350.00 0.80520
6360.00 0.80507
6370.00 0.80494
6380.00 0.80483
6390.00 0.80488
6400.00 0.80504
6410.00 0.80494
6420.00 0.80491
6430.00 0.80479
6440.00 0.80492
6450.00 0.80481
6460.00 0.80468
6470.00 0.80457
6480.00 0.80478
6490.00 0.80479
6500.00 0.80486
6510.00 0.80492
6520.00 0.80522
6530.00 0.80540
6540.00 0.80553
6550.00 0.80553
6560.00 0.80563
6570.00 0.80579
6580.00 0.80603
6590.00 0.80633
6600.00 0.80653
6610.00 0.80679
6620.00 0.80708
6630.00 0.80731
6640.00 0.80762
6650.00 0.80785
6660.00 0.80820
6670.00 0.80837
6680.00 0.80857
6690.00 0.80854
6700.00 0.80874
6710.00 0.80877
6720.00 0.80924
6730.00 0.80939
6740.00 0.80967
6750.00 0.80971
6760.00 0.80997
6770.00 0.81025
6780.00 0.81055
6790.00 0.81105
6800.00 0.81153
6810.00 0.81198
6820.00 0.81235
6830.00 0.81258
6840.00 0.81289
6850.00 0.81303
6860.00 0.81340
6870.00 0.81372
6880.00 0.81402
6890.00 0.81438
6900.00 0.81481
6910.00 0.81539
6920.00 0.81572
6930.00 0.81614
6940.00 0.81637
6950.00 0.81663
6960.00 0.81695
6970.00 0.81732
6980.00 0.81784
6990.00 0.81816
7000.00 0.81858
7010.00 0.81891
7020.00 0.81932
7030.00 0.81965
7040.00 0.82003
7050.00 0.82040
7060.00 0.82062
7070.00 0.82089
7080.00 0.82131
7090.00 0.82178
7100.00 0.82215
7110.00 0.82257
7120.00 0.82296
7130.00 0.82321
7140.00 0.82345
7150.00 0.82377
7160.00 0.82405
7170.00 0.82422
7180.00 0.82465
7190.00 0.82514
7200.00 0.82546
7210.00 0.82592
7220.00 0.82649
7230.00 0.82706
7240.00 0.82740
7250.00 0.82768
7260.00 0.82815
7270.00 0.82857
7280.00 0.82907
7290.00 0.82942
7300.00 0.82976
7310.00 0.83001
7320.00 0.83048
7330.00 0.83094
7340.00 0.83149
7350.00 0.83202
7360.00 0.83256
7370.00 0.83311
7380.00 0.83360
7390.00 0.83403
7400.00 0.83423
7410.00 0.83453
7420.00 0.83481
7430.00 0.83539
7440.00 0.83591
7450.00 0.83644
7460.00 0.83687
7470.00 0.83719
7480.00 0.83773
7490.00 0.83792
7500.00 0.83831
7510.00 0.83860
7520.00 0.83930
7530.00 0.83997
7540.00 0.84057
7550.00 0.84104
7560.00 0.84130
7570.00 0.84166
7580.00 0.84208
7590.00 0.84245
7600.00 0.84281
7610.00 0.84333
7620.00 0.84404
7630.00 0.84460
7640.00 0.84535
7650.00 0.84584
7660.00 0.84633
7670.00 0.84659
7680.00 0.84693
7690.00 0.84722
7700.00 0.84757
7710.00 0.84780
7720.00 0.84823
7730.00 0.84861
7740.00 0.84916
7750.00 0.84988
7760.00 0.85053
7770.00 0.85111
7780.00 0.85139
7790.00 0.85157
7800.00 0.85184
7810.00 0.85221
7820.00 0.85257
7830.00 0.85311
7840.00 0.85342
7850.00 0.85379
7860.00 0.85413
7870.00 0.85485
7880.00 0.85529
7890.00 0.85556
7900.00 0.85576
7910.00 0.85602
7920.00 0.85650
7930.00 0.85694
7940.00 0.85756
7950.00 0.85808
7960.00 0.85827
7970.00 0.85846
7980.00 0.85850
7990.00 0.85877
8000.00 0.85903
8010.00 0.85913
8020.00 0.85948
8030.00 0.85972
8040.00 0.85995
8050.00 0.86034
8060.00 0.86049
8070.00 0.86059
8080.00 0.86085
8090.00 0.86104
8100.00 0.86118
8110.00 0.86134
8120.00 0.86174
8130.00 0.86213
8140.00 0.86249
8150.00 0.86257
8160.00 0.86304
8170.00 0.86320
8180.00 0.86317
8190.00 0.86333
8200.00 0.86361
8210.00 0.86382
8220.00 0.86398
8230.00 0.86410
8240.00 0.86425
8250.00 0.86449
8260.00 0.86463
8270.00 0.86484
8280.00 0.86507
8290.00 0.86534
8300.00 0.86513
8310.00 0.86543
8320.00 0.86574
8330.00 0.86595
8340.00 0.86617
8350.00 0.86649
8360.00 0.86672
8370.00 0.86705
8380.00 0.86721
8390.00 0.86760
8400.00 0.86792
8410.00 0.86829
8420.00 0.86847
8430.00 0.86868
8440.00 0.86884
8450.00 0.86905
8460.00 0.86932
8470.00 0.86954
8480.00 0.86974
8490.00 0.86994
8500.00 0.87008
8510.00 0.87014
8520.00 0.87022
8530.00 0.87034
8540.00 0.87049
8550.00 0.87063
8560.00 0.87080
8570.00 0.87104
8580.00 0.87113
8590.00 0.87133
8600.00 0.87148
8610.00 0.87167
8620.00 0.87177
8630.00 0.87194
8640.00 0.87202
8650.00 0.87216
8660.00 0.87234
8670.00 0.87239
8680.00 0.87229
8690.00 0.87220
8700.00 0.87222
8710.00 0.87221
8720.00 0.87228
8730.00 0.87229
8740.00 0.87230
8750.00 0.87226
8760.00 0.87229
8770.00 0.87241
8780.00 0.87220
8790.00 0.87226
8800.00 0.87209
8810.00 0.87192
8820.00 0.87176
8830.00 0.87166
8840.00 0.87154
8850.00 0.87135
8860.00 0.87119
8870.00 0.87112
8880.00 0.87087
8890.00 0.87076
8900.00 0.87058
8910.00 0.87031
8920.00 0.87011
8930.00 0.86979
8940.00 0.86942
8950.00 0.86915
8960.00 0.86885
8970.00 0.86859
8980.00 0.86825
8990.00 0.86807
9000.00 0.86780
9010.00 0.86759
9020.00 0.86717
9030.00 0.86679
9040.00 0.86617
9050.00 0.86556
9060.00 0.86488
9070.00 0.86452
9080.00 0.86378
9090.00 0.86333
9100.00 0.86287
9110.00 0.86229
9120.00 0.86177
9130.00 0.86123
9140.00 0.86071
9150.00 0.86021
9160.00 0.85987
9170.00 0.85947
9180.00 0.85880
9190.00 0.85810
9200.00 0.85739
9210.00 0.85680
9220.00 0.85602
9230.00 0.85541
9240.00 0.85462
9250.00 0.85392
9260.00 0.85320
9270.00 0.85273
9280.00 0.85192
9290.00 0.85129
9300.00 0.85052
9310.00 0.84963
9320.00 0.84877
9330.00 0.84807
9340.00 0.84736
9350.00 0.84657
9360.00 0.84586
9370.00 0.84510
9380.00 0.84422
9390.00 0.84332
9400.00 0.84251
9410.00 0.84163
9420.00 0.84069
9430.00 0.83997
9440.00 0.83893
9450.00 0.83819
9460.00 0.83747
9470.00 0.83684
9480.00 0.83575
9490.00 0.83493
9500.00 0.83411
9510.00 0.83323
9520.00 0.83221
9530.00 0.83145
9540.00 0.83055
9550.00 0.82979
9560.00 0.82906
9570.00 0.82808
9580.00 0.82708
9590.00 0.82610
9600.00 0.82514
9610.00 0.82418
9620.00 0.82327
9630.00 0.82235
9640.00 0.82131
9650.00 0.82028
9660.00 0.81909
9670.00 0.81807
9680.00 0.81689
9690.00 0.81586
9700.00 0.81473
9710.00 0.81369
9720.00 0.81253
9730.00 0.81181
9740.00 0.81076
9750.00 0.80961
9760.00 0.80851
9770.00 0.80747
9780.00 0.80638
9790.00 0.80534
9800.00 0.80429
9810.00 0.80307
9820.00 0.80191
9830.00 0.80092
9840.00 0.79990
9850.00 0.79885
9860.00 0.79781
9870.00 0.79678
9880.00 0.79550
9890.00 0.79442
9900.00 0.79329
9910.00 0.79218
9920.00 0.79084
9930.00 0.78975
9940.00 0.78847
9950.00 0.78728
9960.00 0.78608
9970.00 0.78498
9980.00 0.78375
9990.00 0.78252
10000.00 0.78123
10010.00 0.78010
10020.00 0.77908
10030.00 0.77806
10040.00 0.77712
10050.00 0.77602
10060.00 0.77488
10070.00 0.77372
10080.00 0.77252
10090.00 0.77146
10100.00 0.77031
10110.00 0.76913
10120.00 0.76780
10130.00 0.76691
10140.00 0.76572
10150.00 0.76465
10160.00 0.76351
10170.00 0.76251
10180.00 0.76120
10190.00 0.76007
10200.00 0.75879
10210.00 0.75749
10220.00 0.75645
10230.00 0.75537
10240.00 0.75429
10250.00 0.75309
10260.00 0.75192
10270.00 0.75065
10280.00 0.74947
10290.00 0.74827
10300.00 0.74715
10310.00 0.74601
10320.00 0.74472
10330.00 0.74363
10340.00 0.74237
10350.00 0.74131
10360.00 0.74011
10370.00 0.73901
10380.00 0.73762
10390.00 0.73643
10400.00 0.73523
10410.00 0.73398
10420.00 0.73271
10430.00 0.73146
10440.00 0.73018
10450.00 0.72890
10460.00 0.72774
10470.00 0.72642
10480.00 0.72508
10490.00 0.72379
10500.00 0.72252
10510.00 0.72109
10520.00 0.71972
10530.00 0.71849
10540.00 0.71721
10550.00 0.71597
10560.00 0.71464
10570.00 0.71341
10580.00 0.71199
10590.00 0.71072
10600.00 0.70938
10610.00 0.70808
10620.00 0.70676
10630.00 0.70549
10640.00 0.70418
10650.00 0.70291
10660.00 0.70169
10670.00 0.70028
10680.00 0.69905
10690.00 0.69824
10700.00 0.69750
10710.00 0.69681
10720.00 0.69608
10730.00 0.69545
10740.00 0.69474
10750.00 0.69402
10760.00 0.69328
10770.00 0.69260
10780.00 0.69180
10790.00 0.69108
10800.00 0.69028
10810.00 0.68890
10820.00 0.68762
10830.00 0.68635
10840.00 0.68498
10850.00 0.68375
10860.00 0.68233
10870.00 0.68097
10880.00 0.67934
10890.00 0.67806
10900.00 0.67676
10910.00 0.67530
10920.00 0.67396
10930.00 0.67266
10940.00 0.67120
10950.00 0.66962
10960.00 0.66804
10970.00 0.66701
10980.00 0.66578
10990.00 0.66487
11000.00 0.66314
