wavelength primary
3000.00 0.00000
3010.00 0.92306
3020.00 0.92312
3030.00 0.92320
3040.00 0.92328
3050.00 0.92336
3060.00 0.92344
3070.00 0.92353
3080.00 0.92361
3090.00 0.92369
3100.00 0.92376
3110.00 0.92383
3120.00 0.92389
3130.00 0.92394
3140.00 0.92398
3150.00 0.92400
3160.00 0.92401
3170.00 0.92401
3180.00 0.92400
3190.00 0.92400
3200.00 0.92400
3210.00 0.92401
3220.00 0.92403
3230.00 0.92406
3240.00 0.92409
3250.00 0.92413
3260.00 0.92418
3270.00 0.92424
3280.00 0.92429
3290.00 0.92435
3300.00 0.92442
3310.00 0.92448
3320.00 0.92455
3330.00 0.92462
3340.00 0.92468
3350.00 0.92474
3360.00 0.92480
3370.00 0.92486
3380.00 0.92491
3390.00 0.92496
3400.00 0.92500
3410.00 0.92503
3420.00 0.92506
3430.00 0.92508
3440.00 0.92510
3450.00 0.92511
3460.00 0.92511
3470.00 0.92512
3480.00 0.92511
3490.00 0.92511
3500.00 0.92510
3510.00 0.92509
3520.00 0.92508
3530.00 0.92507
3540.00 0.92506
3550.00 0.92504
3560.00 0.92503
3570.00 0.92502
3580.00 0.92501
3590.00 0.92500
3600.00 0.92500
3610.00 0.92500
3620.00 0.92500
3630.00 0.92500
3640.00 0.92501
3650.00 0.92501
3660.00 0.92502
3670.00 0.92503
3680.00 0.92503
3690.00 0.92504
3700.00 0.92505
3710.00 0.92505
3720.00 0.92506
3730.00 0.92506
3740.00 0.92506
3750.00 0.92506
3760.00 0.92506
3770.00 0.92505
3780.00 0.92504
3790.00 0.92502
3800.00 0.92500
3810.00 0.92497
3820.00 0.92494
3830.00 0.92491
3840.00 0.92487
3850.00 0.92483
3860.00 0.92478
3870.00 0.92474
3880.00 0.92469
3890.00 0.92463
3900.00 0.92458
3910.00 0.92452
3920.00 0.92446
3930.00 0.92441
3940.00 0.92435
3950.00 0.92429
3960.00 0.92423
3970.00 0.92417
3980.00 0.92411
3990.00 0.92406
4000.00 0.92400
4010.00 0.92395
4020.00 0.92390
4030.00 0.92385
4040.00 0.92380
4050.00 0.92375
4060.00 0.92370
4070.00 0.92366
4080.00 0.92362
4090.00 0.92358
4100.00 0.92354
4110.00 0.92350
4120.00 0.92346
4130.00 0.92342
4140.00 0.92339
4150.00 0.92335
4160.00 0.92332
4170.00 0.92328
4180.00 0.92325
4190.00 0.92321
4200.00 0.92318
4210.00 0.92315
4220.00 0.92312
4230.00 0.92309
4240.00 0.92305
4250.00 0.92302
4260.00 0.92299
4270.00 0.92296
4280.00 0.92292
4290.00 0.92289
4300.00 0.92286
4310.00 0.92283
4320.00 0.92279
4330.00 0.92276
4340.00 0.92272
4350.00 0.92268
4360.00 0.92265
4370.00 0.92261
4380.00 0.92257
4390.00 0.92253
4400.00 0.92249
4410.00 0.92245
4420.00 0.92240
4430.00 0.92236
4440.00 0.92231
4450.00 0.92227
4460.00 0.92222
4470.00 0.92216
4480.00 0.92211
4490.00 0.92206
4500.00 0.92200
4510.00 0.92194
4520.00 0.92188
4530.00 0.92182
4540.00 0.92175
4550.00 0.92169
4560.00 0.92162
4570.00 0.92155
4580.00 0.92148
4590.00 0.92141
4600.00 0.92134
4610.00 0.92126
4620.00 0.92118
4630.00 0.92111
4640.00 0.92103
4650.00 0.92095
4660.00 0.92087
4670.00 0.92079
4680.00 0.92070
4690.00 0.92062
4700.00 0.92054
4710.00 0.92045
4720.00 0.92037
4730.00 0.92028
4740.00 0.92020
4750.00 0.92011
4760.00 0.92002
4770.00 0.91994
4780.00 0.91985
4790.00 0.91976
4800.00 0.91967
4810.00 0.91958
4820.00 0.91950
4830.00 0.91941
4840.00 0.91932
4850.00 0.91924
4860.00 0.91915
4870.00 0.91906
4880.00 0.91898
4890.00 0.91889
4900.00 0.91881
4910.00 0.91872
4920.00 0.91864
4930.00 0.91855
4940.00 0.91847
4950.00 0.91839
4960.00 0.91831
4970.00 0.91823
4980.00 0.91815
4990.00 0.91808
5000.00 0.91800
5010.00 0.91793
5020.00 0.91785
5030.00 0.91778
5040.00 0.91771
5050.00 0.91764
5060.00 0.91757
5070.00 0.91750
5080.00 0.91744
5090.00 0.91737
5100.00 0.91731
5110.00 0.91724
5120.00 0.91718
5130.00 0.91712
5140.00 0.91705
5150.00 0.91699
5160.00 0.91693
5170.00 0.91687
5180.00 0.91681
5190.00 0.91676
5200.00 0.91670
5210.00 0.91664
5220.00 0.91658
5230.00 0.91653
5240.00 0.91647
5250.00 0.91641
5260.00 0.91636
5270.00 0.91630
5280.00 0.91625
5290.00 0.91619
5300.00 0.91614
5310.00 0.91608
5320.00 0.91603
5330.00 0.91597
5340.00 0.91592
5350.00 0.91586
5360.00 0.91581
5370.00 0.91575
5380.00 0.91570
5390.00 0.91564
5400.00 0.91559
5410.00 0.91553
5420.00 0.91547
5430.00 0.91542
5440.00 0.91536
5450.00 0.91530
5460.00 0.91524
5470.00 0.91518
5480.00 0.91512
5490.00 0.91506
5500.00 0.91500
5510.00 0.91494
5520.00 0.91488
5530.00 0.91481
5540.00 0.91475
5550.00 0.91468
5560.00 0.91462
5570.00 0.91455
5580.00 0.91448
5590.00 0.91442
5600.00 0.91435
5610.00 0.91428
5620.00 0.91421
5630.00 0.91414
5640.00 0.91407
5650.00 0.91399
5660.00 0.91392
5670.00 0.91385
5680.00 0.91377
5690.00 0.91370
5700.00 0.91362
5710.00 0.91354
5720.00 0.91347
5730.00 0.91339
5740.00 0.91331
5750.00 0.91323
5760.00 0.91315
5770.00 0.91307
5780.00 0.91299
5790.00 0.91290
5800.00 0.91282
