#wavelength ccd_qe
3000.00 0.00000
3010.00 0.00000
3020.00 0.00000
3030.00 0.00000
3040.00 0.00000
3050.00 0.00000
3060.00 0.00000
3070.00 0.00000
3080.00 0.00000
3090.00 0.00000
3100.00 0.00000
3110.00 0.00000
3120.00 0.00000
3130.00 0.00000
3140.00 0.00000
3150.00 0.00000
3160.00 0.00000
3170.00 0.00000
3180.00 0.00000
3190.00 0.00000
3200.00 0.00000
3210.00 0.00000
3220.00 0.00000
3230.00 0.00000
3240.00 0.00000
3250.00 0.17600
3260.00 0.18058
3270.00 0.18515
3280.00 0.18973
3290.00 0.19430
3300.00 0.19888
3310.00 0.20346
3320.00 0.20803
3330.00 0.21261
3340.00 0.21718
3350.00 0.22176
3360.00 0.22634
3370.00 0.23091
3380.00 0.23549
3390.00 0.24006
3400.00 0.24464
3410.00 0.24922
3420.00 0.25379
3430.00 0.25837
3440.00 0.26294
3450.00 0.26752
3460.00 0.27210
3470.00 0.27667
3480.00 0.28125
3490.00 0.28582
3500.00 0.29040
3510.00 0.29614
3520.00 0.30188
3530.00 0.30762
3540.00 0.31336
3550.00 0.31910
3560.00 0.32485
3570.00 0.33059
3580.00 0.33633
3590.00 0.34207
3600.00 0.34781
3610.00 0.35355
3620.00 0.35929
3630.00 0.36503
3640.00 0.37077
3650.00 0.37651
3660.00 0.38226
3670.00 0.38800
3680.00 0.39374
3690.00 0.39948
3700.00 0.40522
3710.00 0.41096
3720.00 0.41670
3730.00 0.42244
3740.00 0.42818
3750.00 0.43392
3760.00 0.43966
3770.00 0.44541
3780.00 0.45115
3790.00 0.45689
3800.00 0.46263
3810.00 0.46837
3820.00 0.47411
3830.00 0.47985
3840.00 0.48559
3850.00 0.49133
3860.00 0.49707
3870.00 0.50281
3880.00 0.50856
3890.00 0.51430
3900.00 0.52004
3910.00 0.52578
3920.00 0.53152
3930.00 0.53726
3940.00 0.54300
3950.00 0.54874
3960.00 0.55448
3970.00 0.56022
3980.00 0.56597
3990.00 0.57171
4000.00 0.57745
4010.00 0.57877
4020.00 0.58009
4030.00 0.58141
4040.00 0.58272
4050.00 0.58404
4060.00 0.58536
4070.00 0.58668
4080.00 0.58800
4090.00 0.58932
4100.00 0.59064
4110.00 0.59196
4120.00 0.59328
4130.00 0.59460
4140.00 0.59592
4150.00 0.59724
4160.00 0.59856
4170.00 0.59988
4180.00 0.60120
4190.00 0.60251
4200.00 0.60383
4210.00 0.60531
4220.00 0.60678
4230.00 0.60825
4240.00 0.60973
4250.00 0.61120
4260.00 0.61267
4270.00 0.61415
4280.00 0.61562
4290.00 0.61710
4300.00 0.61857
4310.00 0.62004
4320.00 0.62152
4330.00 0.62299
4340.00 0.62446
4350.00 0.62594
4360.00 0.62741
4370.00 0.62889
4380.00 0.63036
4390.00 0.63183
4400.00 0.63330
4410.00 0.63402
4420.00 0.63475
4430.00 0.63547
4440.00 0.63619
4450.00 0.63692
4460.00 0.63764
4470.00 0.63836
4480.00 0.63909
4490.00 0.63981
4500.00 0.64053
4510.00 0.64126
4520.00 0.64198
4530.00 0.64270
4540.00 0.64343
4550.00 0.64415
4560.00 0.64487
4570.00 0.64559
4580.00 0.64632
4590.00 0.64704
4600.00 0.64777
4610.00 0.64873
4620.00 0.64968
4630.00 0.65064
4640.00 0.65159
4650.00 0.65255
4660.00 0.65351
4670.00 0.65446
4680.00 0.65542
4690.00 0.65637
4700.00 0.65733
4710.00 0.65829
4720.00 0.65924
4730.00 0.66020
4740.00 0.66115
4750.00 0.66211
4760.00 0.66307
4770.00 0.66402
4780.00 0.66498
4790.00 0.66593
4800.00 0.66689
4810.00 0.66778
4820.00 0.66867
4830.00 0.66956
4840.00 0.67045
4850.00 0.67134
4860.00 0.67223
4870.00 0.67311
4880.00 0.67400
4890.00 0.67489
4900.00 0.67578
4910.00 0.67667
4920.00 0.67756
4930.00 0.67845
4940.00 0.67934
4950.00 0.68023
4960.00 0.68112
4970.00 0.68201
4980.00 0.68290
4990.00 0.68379
5000.00 0.68468
5010.00 0.68549
5020.00 0.68631
5030.00 0.68712
5040.00 0.68794
5050.00 0.68875
5060.00 0.68956
5070.00 0.69038
5080.00 0.69119
5090.00 0.69201
5100.00 0.69282
5110.00 0.69364
5120.00 0.69445
5130.00 0.69527
5140.00 0.69608
5150.00 0.69690
5160.00 0.69771
5170.00 0.69853
5180.00 0.69934
5190.00 0.70016
5200.00 0.70098
5210.00 0.70211
5220.00 0.70324
5230.00 0.70437
5240.00 0.70551
5250.00 0.70664
5260.00 0.70777
5270.00 0.70890
5280.00 0.71003
5290.00 0.71117
5300.00 0.71230
5310.00 0.71343
5320.00 0.71456
5330.00 0.71570
5340.00 0.71683
5350.00 0.71796
5360.00 0.71909
5370.00 0.72023
5380.00 0.72136
5390.00 0.72249
5400.00 0.72362
5410.00 0.72465
5420.00 0.72567
5430.00 0.72669
5440.00 0.72771
5450.00 0.72873
5460.00 0.72975
5470.00 0.73078
5480.00 0.73180
5490.00 0.73282
5500.00 0.73384
5510.00 0.73486
5520.00 0.73588
5530.00 0.73691
5540.00 0.73793
5550.00 0.73895
5560.00 0.73997
5570.00 0.74099
5580.00 0.74201
5590.00 0.74304
5600.00 0.74406
5610.00 0.74500
5620.00 0.74594
5630.00 0.74688
5640.00 0.74781
5650.00 0.74875
5660.00 0.74969
5670.00 0.75063
5680.00 0.75157
5690.00 0.75251
5700.00 0.75345
5710.00 0.75439
5720.00 0.75533
5730.00 0.75627
5740.00 0.75721
5750.00 0.75815
5760.00 0.75909
5770.00 0.76003
5780.00 0.76097
5790.00 0.76191
5800.00 0.76284
5810.00 0.76378
5820.00 0.76471
5830.00 0.76564
5840.00 0.76657
5850.00 0.76750
5860.00 0.76844
5870.00 0.76937
5880.00 0.77030
5890.00 0.77123
5900.00 0.77216
5910.00 0.77310
5920.00 0.77403
5930.00 0.77496
5940.00 0.77589
5950.00 0.77682
5960.00 0.77776
5970.00 0.77869
5980.00 0.77962
5990.00 0.78055
6000.00 0.78148
6010.00 0.78233
6020.00 0.78318
6030.00 0.78402
6040.00 0.78487
6050.00 0.78572
6060.00 0.78656
6070.00 0.78741
6080.00 0.78826
6090.00 0.78910
6100.00 0.78995
6110.00 0.79080
6120.00 0.79164
6130.00 0.79249
6140.00 0.79334
6150.00 0.79418
6160.00 0.79503
6170.00 0.79588
6180.00 0.79672
6190.00 0.79757
6200.00 0.79842
6210.00 0.79927
6220.00 0.80013
6230.00 0.80099
6240.00 0.80185
6250.00 0.80271
6260.00 0.80357
6270.00 0.80443
6280.00 0.80529
6290.00 0.80615
6300.00 0.80701
6310.00 0.80787
6320.00 0.80873
6330.00 0.80959
6340.00 0.81045
6350.00 0.81131
6360.00 0.81216
6370.00 0.81302
6380.00 0.81388
6390.00 0.81474
6400.00 0.81560
6410.00 0.81635
6420.00 0.81709
6430.00 0.81784
6440.00 0.81858
6450.00 0.81932
6460.00 0.82007
6470.00 0.82081
6480.00 0.82156
6490.00 0.82230
6500.00 0.82304
6510.00 0.82379
6520.00 0.82453
6530.00 0.82528
6540.00 0.82602
6550.00 0.82676
6560.00 0.82751
6570.00 0.82825
6580.00 0.82900
6590.00 0.82974
6600.00 0.83049
6610.00 0.83124
6620.00 0.83200
6630.00 0.83276
6640.00 0.83352
6650.00 0.83428
6660.00 0.83504
6670.00 0.83580
6680.00 0.83656
6690.00 0.83732
6700.00 0.83808
6710.00 0.83884
6720.00 0.83960
6730.00 0.84036
6740.00 0.84112
6750.00 0.84188
6760.00 0.84264
6770.00 0.84340
6780.00 0.84416
6790.00 0.84492
6800.00 0.84568
6810.00 0.84669
6820.00 0.84770
6830.00 0.84870
6840.00 0.84971
6850.00 0.85072
6860.00 0.85172
6870.00 0.85273
6880.00 0.85373
6890.00 0.85474
6900.00 0.85575
6910.00 0.85675
6920.00 0.85776
6930.00 0.85877
6940.00 0.85977
6950.00 0.86078
6960.00 0.86179
6970.00 0.86279
6980.00 0.86380
6990.00 0.86481
7000.00 0.86581
7010.00 0.86662
7020.00 0.86743
7030.00 0.86823
7040.00 0.86904
7050.00 0.86984
7060.00 0.87065
7070.00 0.87145
7080.00 0.87226
7090.00 0.87307
7100.00 0.87387
7110.00 0.87468
7120.00 0.87548
7130.00 0.87629
7140.00 0.87709
7150.00 0.87790
7160.00 0.87871
7170.00 0.87951
7180.00 0.88032
7190.00 0.88112
7200.00 0.88193
7210.00 0.88210
7220.00 0.88226
7230.00 0.88242
7240.00 0.88259
7250.00 0.88275
7260.00 0.88291
7270.00 0.88307
7280.00 0.88324
7290.00 0.88340
7300.00 0.88356
7310.00 0.88373
7320.00 0.88389
7330.00 0.88405
7340.00 0.88421
7350.00 0.88438
7360.00 0.88454
7370.00 0.88470
7380.00 0.88487
7390.00 0.88503
7400.00 0.88519
7410.00 0.88553
7420.00 0.88586
7430.00 0.88620
7440.00 0.88653
7450.00 0.88687
7460.00 0.88720
7470.00 0.88754
7480.00 0.88787
7490.00 0.88820
7500.00 0.88854
7510.00 0.88887
7520.00 0.88921
7530.00 0.88954
7540.00 0.88988
7550.00 0.89021
7560.00 0.89055
7570.00 0.89088
7580.00 0.89122
7590.00 0.89155
7600.00 0.89188
7610.00 0.89214
7620.00 0.89239
7630.00 0.89264
7640.00 0.89289
7650.00 0.89314
7660.00 0.89339
7670.00 0.89364
7680.00 0.89389
7690.00 0.89414
7700.00 0.89439
7710.00 0.89464
7720.00 0.89489
7730.00 0.89514
7740.00 0.89539
7750.00 0.89564
7760.00 0.89589
7770.00 0.89614
7780.00 0.89639
7790.00 0.89664
7800.00 0.89689
7810.00 0.89691
7820.00 0.89693
7830.00 0.89695
7840.00 0.89697
7850.00 0.89698
7860.00 0.89700
7870.00 0.89702
7880.00 0.89704
7890.00 0.89705
7900.00 0.89707
7910.00 0.89709
7920.00 0.89711
7930.00 0.89712
7940.00 0.89714
7950.00 0.89716
7960.00 0.89718
7970.00 0.89720
7980.00 0.89721
7990.00 0.89723
8000.00 0.89725
8010.00 0.89733
8020.00 0.89742
8030.00 0.89750
8040.00 0.89758
8050.00 0.89767
8060.00 0.89775
8070.00 0.89783
8080.00 0.89792
8090.00 0.89800
8100.00 0.89808
8110.00 0.89817
8120.00 0.89825
8130.00 0.89833
8140.00 0.89842
8150.00 0.89850
8160.00 0.89858
8170.00 0.89867
8180.00 0.89875
8190.00 0.89883
8200.00 0.89892
8210.00 0.89879
8220.00 0.89865
8230.00 0.89851
8240.00 0.89838
8250.00 0.89824
8260.00 0.89810
8270.00 0.89797
8280.00 0.89783
8290.00 0.89769
8300.00 0.89756
8310.00 0.89742
8320.00 0.89728
8330.00 0.89715
8340.00 0.89701
8350.00 0.89687
8360.00 0.89674
8370.00 0.89660
8380.00 0.89646
8390.00 0.89633
8400.00 0.89619
8410.00 0.89609
8420.00 0.89599
8430.00 0.89589
8440.00 0.89579
8450.00 0.89569
8460.00 0.89558
8470.00 0.89548
8480.00 0.89538
8490.00 0.89528
8500.00 0.89518
8510.00 0.89508
8520.00 0.89498
8530.00 0.89488
8540.00 0.89477
8550.00 0.89467
8560.00 0.89457
8570.00 0.89447
8580.00 0.89437
8590.00 0.89427
8600.00 0.89417
8610.00 0.89394
8620.00 0.89371
8630.00 0.89348
8640.00 0.89325
8650.00 0.89302
8660.00 0.89280
8670.00 0.89257
8680.00 0.89234
8690.00 0.89211
8700.00 0.89188
8710.00 0.89165
8720.00 0.89142
8730.00 0.89120
8740.00 0.89097
8750.00 0.89074
8760.00 0.89051
8770.00 0.89028
8780.00 0.89005
8790.00 0.88982
8800.00 0.88959
8810.00 0.88912
8820.00 0.88864
8830.00 0.88816
8840.00 0.88768
8850.00 0.88720
8860.00 0.88672
8870.00 0.88624
8880.00 0.88576
8890.00 0.88528
8900.00 0.88480
8910.00 0.88432
8920.00 0.88384
8930.00 0.88336
8940.00 0.88288
8950.00 0.88240
8960.00 0.88192
8970.00 0.88144
8980.00 0.88096
8990.00 0.88048
9000.00 0.88000
9010.00 0.87909
9020.00 0.87817
9030.00 0.87725
9040.00 0.87633
9050.00 0.87541
9060.00 0.87449
9070.00 0.87357
9080.00 0.87265
9090.00 0.87172
9100.00 0.87080
9110.00 0.86988
9120.00 0.86896
9130.00 0.86804
9140.00 0.86712
9150.00 0.86620
9160.00 0.86528
9170.00 0.86436
9180.00 0.86344
9190.00 0.86252
9200.00 0.86160
9210.00 0.85950
9220.00 0.85738
9230.00 0.85526
9240.00 0.85315
9250.00 0.85103
9260.00 0.84891
9270.00 0.84680
9280.00 0.84468
9290.00 0.84256
9300.00 0.84045
9310.00 0.83833
9320.00 0.83622
9330.00 0.83410
9340.00 0.83198
9350.00 0.82987
9360.00 0.82775
9370.00 0.82563
9380.00 0.82352
9390.00 0.82140
9400.00 0.81928
9410.00 0.81618
9420.00 0.81309
9430.00 0.81000
9440.00 0.80691
9450.00 0.80381
9460.00 0.80072
9470.00 0.79763
9480.00 0.79454
9490.00 0.79144
9500.00 0.78835
9510.00 0.78526
9520.00 0.78216
9530.00 0.77907
9540.00 0.77598
9550.00 0.77289
9560.00 0.76979
9570.00 0.76670
9580.00 0.76361
9590.00 0.76052
9600.00 0.75739
9610.00 0.75248
9620.00 0.74757
9630.00 0.74266
9640.00 0.73775
9650.00 0.73285
9660.00 0.72794
9670.00 0.72303
9680.00 0.71812
9690.00 0.71321
9700.00 0.70830
9710.00 0.70340
9720.00 0.69849
9730.00 0.69358
9740.00 0.68867
9750.00 0.68376
9760.00 0.67885
9770.00 0.67395
9780.00 0.66904
9790.00 0.66413
9800.00 0.65919
9810.00 0.65149
9820.00 0.64378
9830.00 0.63608
9840.00 0.62837
9850.00 0.62066
9860.00 0.61296
9870.00 0.60525
9880.00 0.59755
9890.00 0.58984
9900.00 0.58213
9910.00 0.57443
9920.00 0.56672
9930.00 0.55902
9940.00 0.55131
9950.00 0.54361
9960.00 0.53590
9970.00 0.52819
9980.00 0.52049
9990.00 0.51278
10000.00 0.50508
10010.00 0.49546
10020.00 0.48585
10030.00 0.47623
10040.00 0.46662
10050.00 0.45701
10060.00 0.44739
10070.00 0.43778
10080.00 0.42816
10090.00 0.41855
10100.00 0.40894
10110.00 0.39932
10120.00 0.38971
10130.00 0.38009
10140.00 0.37048
10150.00 0.36087
10160.00 0.35125
10170.00 0.34164
10180.00 0.33202
10190.00 0.32241
10200.00 0.31280
10210.00 0.30407
10220.00 0.29535
10230.00 0.28663
10240.00 0.27790
10250.00 0.26918
10260.00 0.26046
10270.00 0.25174
10280.00 0.24301
10290.00 0.23429
10300.00 0.22557
10310.00 0.21684
10320.00 0.20812
10330.00 0.19940
10340.00 0.19067
10350.00 0.18195
10360.00 0.17323
10370.00 0.16450
10380.00 0.15578
10390.00 0.14706
10400.00 0.13834
10410.00 0.13495
10420.00 0.13156
10430.00 0.12817
10440.00 0.12477
10450.00 0.12138
10460.00 0.11799
10470.00 0.11460
10480.00 0.11121
10490.00 0.10782
10500.00 0.10443
10510.00 0.10104
10520.00 0.09765
10530.00 0.09426
10540.00 0.09087
10550.00 0.08748
10560.00 0.08409
10570.00 0.08070
10580.00 0.07731
10590.00 0.07392
10600.00 0.07053
10610.00 0.06881
10620.00 0.06709
10630.00 0.06536
10640.00 0.06364
10650.00 0.06192
10660.00 0.06020
10670.00 0.05847
10680.00 0.05675
10690.00 0.05503
10700.00 0.05331
10710.00 0.05158
10720.00 0.04986
10730.00 0.04814
10740.00 0.04642
10750.00 0.04469
10760.00 0.04297
10770.00 0.04125
10780.00 0.03953
10790.00 0.03780
10800.00 0.03608
10810.00 0.00000
10820.00 0.00000
10830.00 0.00000
10840.00 0.00000
10850.00 0.00000
10860.00 0.00000
10870.00 0.00000
10880.00 0.00000
10890.00 0.00000
10900.00 0.00000
10910.00 0.00000
10920.00 0.00000
10930.00 0.00000
10940.00 0.00000
10950.00 0.00000
10960.00 0.00000
10970.00 0.00000
10980.00 0.00000
10990.00 0.00000
11000.00 0.00000
