# from spreadsheet from Brenna Flaughter; out of band performance from witness sample
#Wavelength(nm),DES-g
300,0.00082373
301,0.001058354
302,0.00130958
303,0.001038894
304,0.001081556
305,0.001149173
306,0.001123718
307,0.001007503
308,0.001295867
309,0.001052871
310,0.001106556
311,0.00116146
312,0.000956112
313,0.001117511
314,0.00089938
315,0.001085687
316,0.000825859
317,0.000965526
318,0.000956589
319,0.00086299
320,0.00098551
321,0.000958172
322,0.000763834
323,0.000873598
324,0.00101095
325,0.0009495
326,0.001026361
327,0.001039581
328,0.000857901
329,0.000849249
330,0.000955379
331,0.000981855
332,0.001170953
333,0.001090083
334,0.000962868
335,0.001165438
336,0.000970932
337,0.001090489
338,0.001120355
339,0.000926706
340,0.001031006
341,0.001105152
342,0.000850798
343,0.000923551
344,0.000956031
345,0.000911482
346,0.000976223
347,0.000998458
348,0.000911372
349,0.000198449
350,0.000954538
351,0.001159228
352,0.001248984
353,0.001136659
354,0.000792666
355,0.000904923
356,0.000997861
357,0.001019381
358,0.001254193
359,0.000888543
360,0.001075972
361,0.001001146
362,0.00108732
363,0.001002808
364,0.000940391
365,0.00096792
366,0.000965516
367,0.000966946
368,0.000871802
369,0.001016002
370,0.001042954
371,0.001042642
372,0.000833644
373,0.001116262
374,0.00097879
375,0.001073401
376,0.000997825
377,0.00103053
378,0.000936608
379,0.000766294
380,0.001037901
381,0.001083803
382,0.00112166
383,0.000977676
384,0.001453831
385,0.002433019
386,0.003670214
387,0.004589956
388,0.00646509
389,0.011496853
390,0.028775536
391,0.105691738
392,0.355168998
393,1.005649686
394,2.922348022
395,10.02316241
396,19.55565517
397,32.97045517
398,47.30148276
399,60.94654483
400,73.08908276
401,81.2077
402,84.91604483
403,86.03278276
404,86.88612759
405,87.26447586
406,87.49566207
407,87.70112759
408,87.86204483
409,87.93568621
410,87.9669931
411,87.99443793
412,87.92328621
413,87.76637931
414,87.68468966
415,87.86452414
416,88.14412759
417,88.41967241
418,88.72662414
419,88.98606897
420,89.0240069
421,88.84661034
422,88.70791724
423,88.63393103
424,88.63782414
425,88.75926207
426,89.01743448
427,89.23626552
428,89.37482069
429,89.52267931
430,89.69563793
431,89.78473103
432,89.71944483
433,89.66303103
434,89.64353448
435,89.62855172
436,89.62520345
437,89.74268966
438,89.99773103
439,90.25821379
440,90.48555862
441,90.70656207
442,90.93452759
443,91.08799655
444,91.12642069
445,91.11236207
446,91.09028621
447,91.05067931
448,90.97112414
449,90.89564138
450,90.86694138
451,90.89437931
452,90.96256207
453,91.05039655
454,91.13614138
455,91.15906207
456,91.09277931
457,90.97605862
458,90.88653793
459,90.85872414
460,90.90515862
461,91.01503103
462,91.16162759
463,91.30620345
464,91.40290345
465,91.43215517
466,91.38931034
467,91.26862759
468,91.07275517
469,90.82714828
470,90.59416897
471,90.45363448
472,90.42982069
473,90.51873793
474,90.69572069
475,90.89704483
476,91.07421379
477,91.16083103
478,91.14034483
479,91.05272759
480,90.9623
481,90.89357586
482,90.84139655
483,90.77604138
484,90.67296207
485,90.53666897
486,90.39465172
487,90.30919655
488,90.34268621
489,90.51257586
490,90.76255172
491,90.95983793
492,90.98217241
493,90.81685517
494,90.53397241
495,90.24956207
496,90.08236207
497,90.10976207
498,90.30010345
499,90.56425862
500,90.79928276
501,90.9337931
502,90.97737931
503,90.98694138
504,90.99912069
505,91.02797586
506,91.06998276
507,91.10912414
508,91.12926207
509,91.10874828
510,91.01865172
511,90.83905517
512,90.58448621
513,90.32511724
514,90.16713793
515,90.17557586
516,90.34006552
517,90.57765172
518,90.78035172
519,90.89528621
520,90.93276897
521,90.94543103
522,90.99393448
523,91.11501379
524,91.28736207
525,91.46653448
526,91.59938276
527,91.6465
528,91.61121034
529,91.52126552
530,91.41046897
531,91.30928276
532,91.23495862
533,91.18558276
534,91.17791034
535,91.21118276
536,91.22180345
537,91.09017931
538,90.68825862
539,90.03992414
540,89.33193448
541,88.77675862
542,88.5078931
543,88.42254138
544,87.78867586
545,84.20556552
546,76.08444138
547,63.66705862
548,48.93305172
549,33.56917241
550,19.97440345
551,10.40014862
552,5.281814828
553,3.04963931
554,1.994188621
555,1.472553793
556,0.061472535
557,0.034594812
558,0.021584796
559,0.014793928
560,0.010782817
561,0.008006011
562,0.005677089
563,0.003977598
564,0.002511064
565,0.001574997
566,0.001269875
567,0.000789023
568,0.000753854
569,0.000567704
570,0.000716794
571,0.000614232
572,0.000652705
573,0.000557498
574,0.000388613
575,0.000381322
576,0.00051583
577,0.000149738
578,0.00022873
579,0.000226042
580,0.000294355
581,0.000268694
582,0.000235752
583,0.000182359
584,0.000132161
585,0.000322424
586,0.000267937
587,0.000361811
588,0.000115421
589,0.000330531
590,0.000138985
591,0.000160049
592,0.000245228
593,0.000342957
594,0.000180389
595,0.000264123
596,0.000112175
597,0.000255582
598,0.000186823
599,-5.99E-05
600,-2.92E-06
601,9.06E-05
602,9.49E-05
603,-6.12E-05
604,5.26E-05
605,0.00010725
606,-2.22E-05
607,0.000179579
608,0.000199464
609,0.000182614
610,0.000252594
611,0.000216533
612,0.000123236
613,8.75E-05
614,6.46E-05
615,0.000196862
616,-1.32E-05
617,-4.16E-07
618,0.000132991
619,6.32E-05
620,0.000138616
621,7.31E-05
622,5.81E-05
623,0.000178485
624,4.30E-05
625,9.44E-05
626,2.07E-05
627,6.29E-05
628,8.55E-06
629,0.000126181
630,4.58E-05
631,-1.84E-05
632,7.04E-05
633,-3.55E-05
634,0.000122582
635,0.000116749
636,-2.41E-05
637,-3.30E-05
638,6.69E-05
639,-7.96E-05
640,0.000125167
641,7.37E-06
642,-6.34E-05
643,-0.000210068
644,-2.89E-05
645,3.43E-05
646,7.70E-05
647,-5.72E-05
648,0.000109009
649,9.35E-05
650,0.0001914
651,-4.30E-05
652,1.09E-05
653,2.26E-05
654,2.46E-05
655,-3.67E-05
656,4.46E-07
657,0.000141762
658,0.000138638
659,2.27E-05
660,7.89E-05
661,-6.48E-06
662,1.30E-05
663,-2.77E-06
664,-0.000103952
665,-3.83E-05
666,-0.000100144
667,-7.36E-05
668,-6.91E-05
669,-0.000102481
670,-4.45E-05
671,1.74E-05
672,1.40E-05
673,-1.93E-05
674,-1.52E-05
675,-0.000109174
676,-0.000113416
677,5.19E-06
678,2.23E-05
679,0.000108821
680,8.11E-05
681,0.000139107
682,2.68E-05
683,-3.60E-05
684,6.63E-05
685,-6.32E-05
686,-5.03E-05
687,4.46E-05
688,0.003093157
689,0.011314137
690,0.012960911
691,0.00461593
692,-4.89E-05
693,6.97E-05
694,0.000152745
695,-1.82E-05
696,0.000282423
697,0.000618149
698,0.000496212
699,0.000183292
700,0.000239203
701,2.87E-05
702,5.90E-05
703,0.000225306
704,3.43E-06
705,0.000205179
706,0.00013312
707,-6.80E-06
708,1.72E-06
709,0.000165429
710,9.31E-05
711,2.63E-05
712,0.000217132
713,4.57E-05
714,8.22E-06
715,7.94E-05
716,8.84E-05
717,4.89E-05
718,3.18E-05
719,-8.50E-05
720,-1.66E-05
721,3.47E-05
722,0.00011634
723,0.000134604
724,6.46E-06
725,4.09E-05
726,0.000186131
727,2.15E-05
728,0.00017796
729,0.00026967
730,0.000193076
731,0.000277726
732,0.00020721
733,-3.86E-05
734,-0.000254061
735,0.000156816
736,-5.26E-05
737,-7.06E-05
738,0.000131603
739,-1.48E-06
740,0.000178961
741,0.00026819
742,0.000291076
743,0.000466135
744,0.000571013
745,0.000206624
746,5.09E-05
747,0.00012945
748,1.45E-05
749,4.76E-05
750,5.04E-05
751,-2.73E-05
752,-0.000273155
753,-0.00021699
754,-2.04E-05
755,-3.43E-05
756,-0.000139344
757,-0.000143402
758,-2.81E-05
759,-4.69E-05
760,0.000202252
761,-6.66E-05
762,-0.00017402
763,4.70E-05
764,1.49E-05
765,-4.45E-05
766,-5.68E-05
767,0.000195343
768,1.41E-05
769,-0.000111768
770,0.000137428
771,-4.22E-05
772,-7.73E-05
773,-5.84E-05
774,4.07E-05
775,-0.000105067
776,-6.04E-05
777,6.79E-05
778,8.93E-05
779,-1.47E-05
780,5.03E-05
781,5.62E-05
782,0.000151818
783,8.12E-05
784,-1.14E-05
785,0.000135894
786,-6.25E-05
787,-5.52E-05
788,4.24E-05
789,0.000221137
790,-7.97E-05
791,-2.71E-05
792,-8.38E-05
793,-6.70E-05
794,4.88E-05
795,-0.000122771
796,-9.89E-05
797,-6.30E-05
798,-1.01E-05
799,-9.31E-05
800,9.48E-05
801,0.000383488
802,0.000554844
803,0.000922131
804,0.001449294
805,0.001717336
806,0.00178339
807,0.001644215
808,0.001574467
809,0.001335419
810,0.001230507
811,0.001179133
812,0.001161923
813,0.000884473
814,0.000743104
815,0.000780462
816,0.000505211
817,0.000498603
818,0.000689856
819,0.000433211
820,0.000496283
821,0.000503426
822,0.000655986
823,0.000724755
824,0.000765711
825,0.000904925
826,0.000992015
827,0.001019895
828,0.001139331
829,0.001553853
830,0.001356629
831,0.001498721
832,0.001269769
833,0.001362215
834,0.000880037
835,0.000782466
836,0.000522451
837,0.000654145
838,0.000177325
839,0.000466854
840,0.000351516
841,0.000170678
842,0.000569103
843,0.000480672
844,0.000176716
845,0.000350448
846,0.000208706
847,0.000341996
848,0.00043365
849,0.000424577
850,0.000296224
851,0.000582666
852,0.000529841
853,0.000698836
854,0.000435416
855,0.000936646
856,0.000955188
857,0.00089672
858,0.001074002
859,0.000584596
860,0.000612366
861,0.000655844
862,0.000417025
863,0.000564277
864,0.000423528
865,0.000204837
866,0.000596236
867,0.000435047
868,0.000426084
869,0.000410231
870,0.000286453
871,0.000425772
872,9.75E-05
873,0.000508749
874,0.0001499
875,0.000494341
876,0.000393301
877,0.000746937
878,0.000665585
879,0.000777843
880,0.000541721
881,0.001142091
882,0.001304387
883,0.00133513
884,0.000985679
885,0.000857978
886,0.00026441
887,0.000591481
888,0.000218457
889,0.000235514
890,0.000610012
891,-6.00E-06
892,0.000811408
893,0.000196131
894,0.000580306
895,0.000314343
896,0.000303184
897,0.000447188
898,0.000124657
899,-0.001803865
900,0.001847497
901,0.002298574
902,0.003305074
903,0.003192748
904,0.001966432
905,0.001764257
906,0.001155135
907,0.001330015
908,0.001445742
909,0.000799881
910,0.000893918
911,0.00120785
912,0.001211192
913,0.002061304
914,0.001401425
915,0.001128332
916,0.000957588
917,0.001074422
918,0.000897674
919,0.00134413
920,0.000877084
921,0.001006313
922,0.000685198
923,0.000782171
924,0.000651773
925,0.000937002
926,7.92E-05
927,0.000867044
928,0.000398481
929,0.000913284
930,0.001050546
931,0.000926739
932,0.000472244
933,0.000995765
