# from spreadsheet from Brenna Flaughter; out of band performance from witness sample
#Wavelength(nm),DES-r
300,0.000893139
301,0.000996875
302,0.000730103
303,0.000834311
304,0.001177225
305,0.000787448
306,0.000675011
307,0.000914169
308,0.000725112
309,0.000707801
310,0.000734697
311,0.001015734
312,0.000968179
313,0.000837001
314,0.000759358
315,0.000816111
316,0.000754233
317,0.00069801
318,0.000938255
319,0.000892532
320,0.001008
321,0.000761773
322,0.00060978
323,0.000735588
324,0.000894492
325,0.000717082
326,0.000757615
327,0.000691407
328,0.000708404
329,0.000857114
330,0.000631613
331,0.00066862
332,0.000622835
333,0.000700201
334,0.00110905
335,0.000786347
336,0.000554582
337,0.00059578
338,0.000725211
339,0.000576767
340,0.000623535
341,0.00051747
342,0.000296724
343,0.00087686
344,0.000412684
345,0.000559127
346,0.000462109
347,0.00035948
348,0.000568225
349,-0.000157243
350,0.000296068
351,0.000403076
352,0.000753708
353,0.000340311
354,0.000557041
355,0.000755083
356,0.000450564
357,0.000803752
358,0.000715859
359,0.00045725
360,0.000630422
361,0.000585304
362,0.000333108
363,0.000508116
364,0.00039824
365,0.000481949
366,0.000664562
367,0.000602889
368,0.000407619
369,0.00069099
370,0.000535611
371,0.000350569
372,0.000531444
373,0.000501466
374,0.000564436
375,0.000263405
376,0.000584173
377,0.000540437
378,0.00051333
379,0.000348729
380,0.000570075
381,0.000629522
382,0.000399489
383,0.00055288
384,0.000587244
385,0.000773579
386,0.000651846
387,0.000696099
388,0.000420976
389,0.000705141
390,0.001126267
391,0.00151931
392,0.001617029
393,0.001431314
394,0.001334797
395,0.000930914
396,0.001479372
397,0.002754892
398,0.004400332
399,0.00636034
400,0.005831583
401,0.00319936
402,0.001128295
403,0.001014397
404,0.000776506
405,0.000733778
406,0.000817949
407,0.001219625
408,0.001416664
409,0.001231106
410,0.000745288
411,0.000468474
412,0.000474976
413,0.000492688
414,0.000724508
415,0.001228363
416,0.002334866
417,0.002243856
418,0.001572065
419,0.001123484
420,0.001161388
421,0.001309611
422,0.002387018
423,0.003854038
424,0.004044419
425,0.002334489
426,0.000985206
427,0.000189085
428,0.000317517
429,0.000484981
430,0.001446653
431,0.002091998
432,0.001333812
433,0.0006242
434,0.000520326
435,0.000138397
436,0.000513074
437,0.00115804
438,0.00181881
439,0.001256362
440,0.000384304
441,0.001114466
442,0.002114303
443,0.002387903
444,0.001379686
445,0.000444211
446,0.000161071
447,0.00025318
448,0.000206157
449,0.000204997
450,0.000183882
451,0.000525498
452,0.000412708
453,0.000388785
454,0.000274248
455,0.000552162
456,0.000448918
457,0.000423505
458,9.37E-05
459,0.000304065
460,0.000348429
461,0.000514596
462,0.000430771
463,0.000389254
464,0.000198311
465,0.000412936
466,0.000439927
467,0.0003387
468,0.00042233
469,0.000335701
470,0.000232937
471,6.04E-05
472,0.000217651
473,0.000231682
474,0.000282543
475,0.000282652
476,0.000278968
477,0.000206016
478,0.000342373
479,-4.23E-05
480,0.000182724
481,0.000249096
482,0.000160228
483,0.00052737
484,0.000301829
485,0.000485288
486,0.000331126
487,0.000282484
488,0.000251637
489,0.000302714
490,0.000102351
491,0.000131126
492,6.10E-05
493,4.55E-05
494,4.14E-05
495,0.000127975
496,0.00020177
497,0.000129191
498,2.25E-05
499,9.42E-05
500,0.000103693
501,4.36E-05
502,0.00011926
503,0.000259939
504,0.000328857
505,0.000296051
506,0.000192764
507,0.000315501
508,0.000307762
509,0.000210056
510,0.000174464
511,0.000311027
512,0.000178164
513,1.29E-05
514,0.000124669
515,-5.08E-05
516,0.000106136
517,0.000166298
518,0.000183893
519,0.000385806
520,6.16E-05
521,8.98E-05
522,0.000290837
523,0.000125068
524,0.000210587
525,0.000380402
526,0.000352505
527,0.000350238
528,0.000397883
529,0.000301657
530,0.000399111
531,0.000534813
532,0.000296278
533,0.000292969
534,0.000346933
535,0.000271666
536,0.000357349
537,0.000389952
538,0.000384002
539,0.000312238
540,0.000383422
541,0.000388899
542,0.00048896
543,0.00053069
544,0.000442902
545,0.000481438
546,0.000556894
547,0.000559183
548,0.000655357
549,0.000864486
550,0.001201094
551,0.001650919
